gene	value.var	block	component	transcript	product	GO	GOterm	GOslim	process
gene.LOC111121989	0.0764960279752665	Y	2	XM_022463500.1;XM_022463501.1;XM_022463502.1	dynein intermediate chain 3%2C ciliary-like%2C transcript variant X1;dynein intermediate chain 3%2C ciliary-like%2C transcript variant X2;dynein intermediate chain 3%2C ciliary-like%2C transcript variant X3	GO:0005737;GO:0005874;GO:0005929;GO:0030286;GO:0003774	cytoplasm;microtubule;cilium;dynein complex;motor activity	other cellular component;cytoskeleton;cytoskeletal activity	C;F
gene.LOC111103412	0.0776136725513135	Y	2	XM_022436690.1	dnaJ homolog subfamily B member 13-like	GO:0005737;GO:0005930;GO:0031514;GO:0051082;GO:0006457;GO:0036126;GO:1904158	cytoplasm;axoneme;motile secondary cilium;unfolded protein binding;protein folding;NA	other cellular component;other molecular function;protein metabolism;NA	C;F;P;NA
gene.LOC111129900	0.081663404426074	Y	2	XM_022476429.1;XM_022476430.1;XM_022476431.1	basal body-orientation factor 1-like%2C transcript variant X1;basal body-orientation factor 1-like%2C transcript variant X2;basal body-orientation factor 1-like%2C transcript variant X3	GO:0005737;GO:0036064;GO:0044458	cytoplasm;NA	other cellular component;NA	C;NA
gene.LOC111137068	0.12314826051109	Y	2	XM_022488315.1	33 kDa inner dynein arm light chain%2C axonemal-like	GO:0005737;GO:0005930;GO:0030175;GO:0030286;GO:0003774;GO:0045504	cytoplasm;axoneme;filopodium;dynein complex;motor activity;dynein heavy chain binding	other cellular component;cytoskeleton;cytoskeletal activity;other molecular function	C;F
gene.LOC111136162	0.136411611902735	Y	2	XM_022486813.1	protein FAM184A-like	GO:0005615	extracellular space	non-structural extracellular	C
gene.LOC111120585	0.140858193718103	Y	2	XM_022461396.1	dynein beta chain%2C ciliary-like	GO:0005737;GO:0005874;GO:0030286;GO:0031514;GO:0003777;GO:0005524;GO:0016887;GO:0007018;GO:0030030	cytoplasm;microtubule;dynein complex;motile secondary cilium;microtubule motor activity;ATP binding;ATPase activity;microtubule-based movement;cell projection organization	other cellular component;cytoskeleton;cytoskeletal activity;other molecular function;other biological processes;cell organization and biogenesis	C;F;P
gene.LOC111134952	0.155684761305481	Y	2	XM_022484558.1;XM_022484559.1	ATP-binding cassette sub-family A member 3-like%2C transcript variant X1;ATP-binding cassette sub-family A member 3-like%2C transcript variant X2	GO:0005615;GO:0005886;GO:0016020;GO:0016021;GO:0043231;GO:0005215;GO:0005319;GO:0005524;GO:0042626;GO:0006810;GO:0006869;GO:0042493;GO:0044267;GO:0051384;GO:0055085;GO:0097208;GO:0097232;GO:0097233	extracellular space;plasma membrane;membrane;integral to membrane;intracellular membrane-bounded organelle;transporter activity;lipid transporter activity;ATP binding;ATPase activity;coupled to transmembrane movement of substances;transport;lipid transport;response to drug;cellular protein metabolic process;response to glucocorticoid stimulus;transmembrane transport;NA	non-structural extracellular;other membranes;plasma membrane;other cellular component;transporter activity;other molecular function;transport;other biological processes;protein metabolism;NA	C;F;P;NA
gene.LOC111135089	0.167112080597224	Y	2	XM_022484822.1	tektin-1-like	GO:0005634;GO:0005737;GO:0005874;GO:0030317;GO:0060271;GO:0060294;GO:0036126	nucleus;cytoplasm;microtubule;sperm motility;cilium morphogenesis;cilium movement involved in ciliary motility;NA	nucleus;other cellular component;cytoskeleton;other biological processes;cell organization and biogenesis;NA	C;P;NA
gene.LOC111126580	0.176072125671114	Y	2	XM_022471322.1;XM_022471323.1;XM_022471324.1;XM_022471325.1	annexin A4-like%2C transcript variant X1;annexin A4-like%2C transcript variant X2;annexin A4-like%2C transcript variant X3;annexin A4-like%2C transcript variant X4	GO:0005634;GO:0005635;GO:0005789;GO:0005829;GO:0005886;GO:0016020;GO:0070062;GO:0003723;GO:0005178;GO:0005509;GO:0005544;GO:0048306;GO:0006874;GO:0006914;GO:0007599;GO:0008283;GO:0008360;GO:0009651;GO:0009992;GO:0010629;GO:0014070;GO:0030855;GO:0035176;GO:0051592;GO:0061025	nucleus;nuclear envelope;endoplasmic reticulum membrane;cytosol;plasma membrane;membrane;extracellular vesicular exosome;RNA binding;integrin binding;calcium ion binding;calcium-dependent phospholipid binding;calcium-dependent protein binding;cellular calcium ion homeostasis;autophagy;hemostasis;cell proliferation;regulation of cell shape;response to salt stress;cellular water homeostasis;negative regulation of gene expression;response to organic cyclic substance;epithelial cell differentiation;social behavior;response to calcium ion;NA	nucleus;ER/Golgi;other membranes;cytosol;plasma membrane;non-structural extracellular;nucleic acid binding activity;signal transduction activity;other molecular function;other biological processes;other metabolic processes;cell cycle and proliferation;cell organization and biogenesis;stress response;developmental processes;NA	C;F;P;NA
gene.LOC111121573	0.180527310792278	Y	2	XM_022462899.1	tektin-4-like	GO:0005737;GO:0005874;GO:0005929	cytoplasm;microtubule;cilium	other cellular component;cytoskeleton	C
gene.LOC111138192	0.197642488265488	Y	2	XM_022490048.1	translin-associated factor X-interacting protein 1-like	GO:0048471;GO:0007275;GO:0007283;GO:0030154	perinuclear region of cytoplasm;multicellular organismal development;spermatogenesis;cell differentiation	other cellular component;developmental processes;other biological processes	C;P
gene.LOC111108652	0.208364000019438	Y	2	XM_022444664.1;XM_022444665.1	ATP-binding cassette sub-family A member 3-like%2C transcript variant X1;ATP-binding cassette sub-family A member 3-like%2C transcript variant X2	GO:0005615;GO:0005886;GO:0016020;GO:0016021;GO:0043231;GO:0005215;GO:0005319;GO:0005524;GO:0042626;GO:0006810;GO:0006869;GO:0042493;GO:0044267;GO:0051384;GO:0055085;GO:0097208;GO:0097232;GO:0097233	extracellular space;plasma membrane;membrane;integral to membrane;intracellular membrane-bounded organelle;transporter activity;lipid transporter activity;ATP binding;ATPase activity;coupled to transmembrane movement of substances;transport;lipid transport;response to drug;cellular protein metabolic process;response to glucocorticoid stimulus;transmembrane transport;NA	non-structural extracellular;other membranes;plasma membrane;other cellular component;transporter activity;other molecular function;transport;other biological processes;protein metabolism;NA	C;F;P;NA
gene.LOC111129218	0.238523676428096	Y	2	XM_022475466.1	radial spoke head protein 4 homolog A-like	GO:0001534;GO:0005737;GO:0005930;GO:0035082;GO:0003341	radial spoke;cytoplasm;axoneme;axoneme assembly;NA	other cellular component;cell organization and biogenesis;NA	C;P;NA
gene.LOC111129250	0.254586488664924	Y	2	XM_022475509.1	radial spoke head protein 4 homolog A-like	GO:0001534;GO:0005737;GO:0005930;GO:0035082;GO:0003341	radial spoke;cytoplasm;axoneme;axoneme assembly;NA	other cellular component;cell organization and biogenesis;NA	C;P;NA
gene.LOC111120563	0.296222991015191	Y	2	XM_022461367.1;XM_022461369.1;XM_022461370.1	WD repeat-containing protein 63-like%2C transcript variant X1;WD repeat-containing protein 63-like%2C transcript variant X2;WD repeat-containing protein 63-like%2C transcript variant X3	GO:0030286;GO:0045503;GO:0045504;GO:0007018	dynein complex;dynein light chain binding;dynein heavy chain binding;microtubule-based movement	cytoskeleton;other molecular function;other biological processes	C;F;P
gene.LOC111125809	0.309963329933516	Y	2	XM_022469958.1;XM_022469960.1	coiled-coil domain-containing protein 105-like%2C transcript variant X1;coiled-coil domain-containing protein 105-like%2C transcript variant X2	GO:0070062	extracellular vesicular exosome	non-structural extracellular	C
gene.LOC111136596	0.344794046891354	Y	2	XM_022487565.1	doublecortin domain-containing protein 2-like	GO:0005634;GO:0005737;GO:0005829;GO:0005930;GO:0060091;GO:0001764;GO:0007605;GO:0030111;GO:0045880;GO:0060271;GO:0035556;GO:1902017	nucleus;cytoplasm;cytosol;axoneme;kinocilium;neuron migration;sensory perception of sound;regulation of Wnt receptor signaling pathway;positive regulation of smoothened signaling pathway;cilium morphogenesis;NA	nucleus;other cellular component;cytosol;developmental processes;other biological processes;signal transduction;cell organization and biogenesis;NA	C;P;NA
gene.LOC111125013	0.364964990515883	Y	2	XM_022468413.1;XM_022468414.1;XM_022468415.1	mitochondria-eating protein-like%2C transcript variant X1;mitochondria-eating protein-like%2C transcript variant X2;mitochondria-eating protein-like%2C transcript variant X3	GO:0005737;GO:0005741;GO:0043231;GO:0006974;GO:0035694;GO:0035695	cytoplasm;mitochondrial outer membrane;intracellular membrane-bounded organelle;response to DNA damage stimulus;NA	other cellular component;mitochondrion;other membranes;stress response;NA	C;P;NA
gene.LOC111130301	0.39259911290161	Y	2	XM_022477192.1	adenylate kinase 7-like	GO:0005829;GO:0004017;GO:0004127;GO:0004550;GO:0005524;GO:0019206;GO:0006165;GO:0009142;GO:0015949;GO:0030030	cytosol;adenylate kinase activity;cytidylate kinase activity;nucleoside diphosphate kinase activity;ATP binding;nucleoside kinase activity;nucleoside diphosphate phosphorylation;nucleoside triphosphate biosynthetic process;nucleobase;nucleoside and nucleotide interconversion;cell projection organization	cytosol;kinase activity;other molecular function;other metabolic processes;cell organization and biogenesis	C;F;P
